duration,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,p5x,p5y,p6x,p6y,p7x,p7y
1.0,-2.3222769999999917,-7.655522999999971,-2.322276999999992,-7.655522999999973,-2.3222769999999926,-7.655522999999975,-2.322276999999992,-7.655522999999973,-2.323708314285705,-7.655080057142826,-2.326908476190464,-7.65404676190472,-2.332058714285695,-7.652323999999935,-2.3391859999999682,-7.649857999999894
1.0,-2.3391849999999916,-7.6498569999999715,-2.346311714285706,-7.647390571428545,-2.355414952380945,-7.644180476190451,-2.366521171428563,-7.640172542857116,-2.379502057142848,-7.635357571428541,-2.3942852380952253,-7.629713142857101,-2.410801571428552,-7.623214714285649,-2.4289939999999675,-7.615834999999894
1.0,-2.428993999999991,-7.615835999999972,-2.447186142857134,-7.608456857142831,-2.467054285714277,-7.600196666666641,-2.488541285714277,-7.59102825714283,-2.5116019428571326,-7.580921742857112,-2.5361893809523672,-7.5698475714285305,-2.5622555714285498,-7.557784428571365,-2.5897499999999654,-7.5447229999998955
1.0,-2.5897499999999907,-7.544721999999973,-2.6172441428571336,-7.531659714285689,-2.6461660952380863,-7.517598571428548,-2.676464828571419,-7.502528914285689,-2.7080863428571322,-7.486452885714256,-2.7409753333333184,-7.469379619047579,-2.7750767142856914,-7.4513171428570795,-2.8103349999999634,-7.432272999999897
1.0,-2.8103359999999897,-7.432273999999972,-2.845594857142847,-7.41323028571426,-2.882011190476181,-7.393205380952357,-2.919530057142847,-7.372207257142831,-2.9580966285714165,-7.350243771428542,-2.99765628571427,-7.327321857142817,-3.0381544285714037,-7.3034487142856515,-3.07953699999996,-7.2786319999999
1.0,-3.079535999999989,-7.278630999999973,-3.120918285714275,-7.253813714285689,-3.1631845714285616,-7.228052238095215,-3.206280314285703,-7.201353685714261,-3.2501509999999874,-7.173725142857114,-3.2947421428571255,-7.1451738095237705,-3.339999285714258,-7.115706857142796,-3.385867999999956,-7.085330999999901
1.0,-3.3858679999999874,-7.085330999999974,-3.4317365714285595,-7.054955571428548,-3.478216666666655,-7.0236717619047395,-3.525253857142845,-6.991486799999977,-3.5727937714285574,-6.958407942857115,-3.620782047619028,-6.924442476190439,-3.6691645714285412,-6.889597571428514,-3.7178879999999506,-6.853879999999904
1.0,-3.717887999999986,-6.853879999999975,-3.766610999999987,-6.818162428571405,-3.815674476190464,-6.781572142857121,-3.8650246571428437,-6.744115914285691,-3.9146081142856985,-6.7058001428571155,-3.964371904761883,-6.666630952380916,-4.014262714285681,-6.626614428571372,-4.064227999999947,-6.585756999999908
1.0,-4.064227999999985,-6.585756999999976,-4.114192999999985,-6.544899285714263,-4.164231999999986,-6.503200285714265,-4.214291942857128,-6.460666085714263,-4.26432005714284,-6.417302799999974,-4.314263142857119,-6.373116476190442,-4.364072714285678,-6.328114142857089,-4.413707999999941,-6.282304999999912
1.0,-4.413707999999984,-6.282302999999977,-4.463343428571413,-6.236492714285693,-4.512804857142842,-6.189874761904742,-4.562051914285698,-6.1424576571428355,-4.611052399999981,-6.09425151428569,-4.659778809523784,-6.0452673333333005,-4.7082058571428185,-5.995516571428519,-4.7563129999999365,-5.945011999999916
