duration,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,p5x,p5y,p6x,p6y,p7x,p7y
1.0,-3.771173999999986,-7.055369999999974,-3.771173999999987,-7.055369999999976,-3.771173999999988,-7.055369999999977,-3.771173999999987,-7.055369999999976,-3.772566999999985,-7.0578022571428285,-3.7755447619047415,-7.063068809523771,-3.7801464285713964,-7.071305428571369,-3.7862509999999476,-7.082372999999904
1.0,-3.7862509999999863,-7.082372999999974,-3.7923557142857014,-7.0934409999999755,-3.7999635714285596,-7.107340380952357,-3.8089538571428445,-7.123932457142833,-3.8190460571428417,-7.142804085714257,-3.830026523809503,-7.163652999999961,-3.841683714285682,-7.186181285714226,-3.8538189999999473,-7.210113999999901
1.0,-3.8538209999999857,-7.210114999999973,-3.8659569999999865,-7.234047571428547,-3.878571428571416,-7.259384285714263,-3.891465914285701,-7.285849885714261,-3.904455199999984,-7.313191742857113,-3.9173517619047407,-7.341153428571389,-3.9299665714285386,-7.369478714285653,-3.9421089999999466,-7.397908999999899
1.0,-3.9421079999999855,-7.397907999999973,-3.9542501428571293,-7.426338142857117,-3.9659198571428447,-7.4548733333333095,-3.976926571428558,-7.483255114285688,-3.987078228571413,-7.511222914285685,-3.9961805238095027,-7.538515619047579,-4.004054428571395,-7.564877428571366,-4.010551999999945,-7.590071999999897
1.0,-4.010552999999985,-7.590072999999973,-4.0170507142857,-7.615268142857118,-4.022172095238082,-7.639296714285689,-4.025769171428557,-7.661922999999975,-4.027724999999984,-7.682931285714256,-4.027937190476168,-7.702109809523768,-4.026332142857108,-7.71930071428565,-4.022886999999945,-7.734435999999895
1.0,-4.022887999999985,-7.734434999999972,-4.0194437142857,-7.749570142857117,-4.014159904761891,-7.7626495238094995,-4.007014057142843,-7.773604914285688,-3.9980345999999836,-7.78245759999997,-3.987279428571407,-7.789283333333292,-3.974801857142824,-7.794149142857078,-3.960654999999945,-7.797120999999893
1.0,-3.9606539999999852,-7.7971219999999715,-3.946506285714272,-7.800093714285688,-3.9306885714285587,-7.801171333333309,-3.913253342857129,-7.8004206857142595,-3.8942523142856986,-7.797906428571397,-3.8737331428571213,-7.7936858571428145,-3.851744285714253,-7.787817857142791,-3.828333999999946,-7.780360999999892
1.0,-3.8283339999999857,-7.780360999999972,-3.804923857142844,-7.772904428571402,-3.780092333333321,-7.763859190476166,-3.7538877142857014,-7.7532839428571165,-3.7263580857142706,-7.741237028571398,-3.6975519999999795,-7.727777666666625,-3.6675178571428253,-7.712964857142792,-3.6363039999999485,-7.696857999999893
1.0,-3.6363029999999865,-7.696856999999971,-3.605088714285702,-7.680749428571402,-3.572694666666655,-7.663347380952356,-3.539169257142845,-7.644709914285688,-3.5045609142857,-7.6248961714285395,-3.468917999999981,-7.603965190476149,-3.4322888571428276,-7.581975999999936,-3.3947219999999514,-7.5589879999998955
1.0,-3.3947219999999874,-7.558987999999973,-3.3571551428571316,-7.535999999999975,-3.318650523809513,-7.512013047619025,-3.2792565428571314,-7.487086257142832,-3.2390215999999867,-7.461278742857114,-3.197994095238077,-7.434649619047579,-3.156222428571401,-7.4072579999999375,-3.1137549999999554,-7.379162999999898
1.0,-3.1137539999999886,-7.379161999999973,-3.0712864285714185,-7.351066999999975,-3.028123047619038,-7.32226871428569,-2.984312257142847,-7.29282628571426,-2.9399024571428454,-7.262798857142829,-2.8949420952380795,-7.23224561904758,-2.849479428571404,-7.201225571428511,-2.803562999999959,-7.169797999999901
1.0,-2.80356299999999,-7.1697979999999735,-2.757646428571419,-7.138370285714261,-2.711275952380944,-7.106534999999978,-2.664499914285705,-7.074351371428547,-2.6173666857142757,-7.0418788285714005,-2.5699242857142717,-7.00917661904758,-2.522221857142835,-6.9763061428570845,-2.474309999999964,-6.943327999999903
1.0,-2.4743079999999913,-6.943326999999974,-2.426395285714278,-6.910348428571405,-2.3782725238095166,-6.877261999999979,-2.3299897999999923,-6.844128257142833,-2.281598199999991,-6.811006971428544,-2.233152333333321,-6.777957285714248,-2.1847005714285523,-6.745020857142799,-2.1362779999999684,-6.7122149999999055
1.0,-2.136277999999992,-6.712216999999975,-2.087855999999993,-6.679411857142834,-2.0394636666666606,-6.646737761904741,-1.9911365714285645,-6.614212457142834,-1.942897485714278,-6.581829742857116,-1.8947605238095133,-6.549569238095203,-1.8467409999999833,-6.517413142857087,-1.798853999999973,-6.485343999999909
1.0,-1.7988539999999935,-6.4853439999999765,-1.7509672857142797,-6.453275285714264,-1.703213476190471,-6.421293714285693,-1.6556080571428515,-6.389381914285693,-1.608166628571422,-6.35752291428569,-1.5609059047618958,-6.32570171428568,-1.5138422857142722,-6.293902857142804,-1.4669919999999776,-6.262110999999912
1.0,-1.4669939999999948,-6.262110999999977,-1.4201445714285665,-6.230318999999979,-1.3735090476190432,-6.19853399999998,-1.327104028571424,-6.166740657142837,-1.2809461999999947,-6.134923742857118,-1.235052142857136,-6.103067809523776,-1.1894384285714177,-6.071157428571377,-1.144121999999982,-6.039176999999915
1.0,-1.144120999999996,-6.039176999999977,-1.098804285714282,-6.007196857142836,-1.053784571428568,-5.975146904761885,-1.0090784857142823,-5.943011742857122,-0.9647026857142816,-5.910775942857119,-0.9206738095238041,-5.878423999999967,-0.877008714285706,-5.845940428571378,-0.8337239999999864,-5.813308999999918
1.0,-0.833724999999997,-5.813309999999979,-0.7904407142857117,-5.780679857142838,-0.7475371428571407,-5.747902857142839,-0.7050311428571406,-5.714963542857124,-0.6629395428571403,-5.681846342857121,-0.6212795238095202,-5.648535904761874,-0.5800668571428517,-5.615015428571382,-0.5393169999999909,-5.581267999999923
1.0,-0.5393179999999981,-5.581267999999979,-0.49856871428571264,-5.547520428571409,-0.45828257142857004,-5.513545761904744,-0.4184752857142843,-5.479326857142838,-0.3791624571428555,-5.444846228571407,-0.3403580476190454,-5.410084523809494,-0.3020869999999967,-5.375032571428525,-0.26439199999999463,-5.339697999999925
1.0,-0.2643899999999992,-5.339697999999981,-0.22669414285714226,-5.304363285714268,-0.18957371428571385,-5.26874566666665,-0.15307091428571384,-5.232852371428553,-0.11724528571428522,-5.196706971428552,-0.08216714285714222,-5.1603432380952095,-0.04790514285714187,-5.123793285714242,-0.014527999999998265,-5.087088999999928
1.0,-0.014527000000000049,-5.087088999999981,0.018850714285714113,-5.050384571428554,0.0513439523809521,-5.013525761904746,0.08288437142857108,-4.976544428571411,0.11340391428571382,-4.9394721999999796,0.14283580952380892,-4.902339333333306,0.17111371428571334,-4.865176285714244,0.1981709999999985,-4.828013999999931
1.0,0.19816999999999924,-4.828013999999982,0.22522685714285628,-4.790851285714269,0.25106285714285625,-4.753688809523793,0.2756113142857133,-4.716557028571412,0.29880528571428455,-4.6794863999999805,0.3205789999999984,-4.6425072857142595,0.3408604285714261,-4.605651285714245,0.3595759999999959,-4.568949999999935
1.0,0.3595759999999987,-4.568950999999983,0.37829185714285585,-4.53225028571427,0.395442333333332,-4.495704666666652,0.4109543999999986,-4.459346057142842,0.4247539999999983,-4.423206657142839,0.4367594761904739,-4.387320190476166,0.4469349999999965,-4.351711714285678,0.45531799999999417,-4.316391999999938
1.0,0.4553189999999983,-4.316390999999984,0.46370242857142696,-4.281071285714271,0.4702935238095223,-4.2460404285714155,0.4751298571428555,-4.211309342857128,0.47832237142856954,-4.176874857142841,0.48002799999999735,-4.142724952380931,0.4803962857142817,-4.108848999999965,0.4795759999999934,-4.0752359999999435
1.0,0.4795759999999982,-4.075236999999985,0.4787554285714269,-4.041624428571415,0.4767460476190461,-4.008275238095226,0.4736963999999984,-3.9751788857142727,0.46975408571428384,-3.942324885714271,0.4650606666666641,-3.9097038095237884,0.45975857142856746,-3.8773059999999666,0.4539899999999935,-3.8451219999999466
1.0,0.45398999999999834,-3.8451209999999856,0.44822142857142705,-3.8129365714285584,0.4419864761904748,-3.7809656666666545,0.4354274571428557,-3.749198599999987,0.4286866285714268,-3.7176257428571273,0.42190604761904527,-3.6862372857142653,0.4152322857142821,-3.65502357142854,0.408811999999994,-3.623974999999948
1.0,0.4088119999999985,-3.623974999999987,0.40239157142857007,-3.5929264285714164,0.3962246666666654,-3.5620430476190363,0.3904580857142844,-3.5313153142857026,0.3852389714285699,-3.500733799999986,0.3807191904761884,-3.47028942857141,0.37701585714285396,-3.439972428571399,0.3741909999999947,-3.4097719999999523
1.0,0.37418999999999863,-3.4097719999999874,0.3713644285714273,-3.379571428571417,0.3694167619047607,-3.349487142857132,0.36840857142857014,-3.3195080857142742,0.36834597142856995,-3.289621971428558,0.3692004761904742,-3.259815714285696,0.37094942857142543,-3.2300764285714005,0.37357099999999493,-3.2003909999999545
1.0,0.3735709999999986,-3.2003909999999887,0.37619242857142726,-3.170705571428561,0.37968638095237967,-3.1410740476190377,0.38403097142857007,-3.111483457142847,0.3892051428571413,-3.081920828571416,0.39519266666666447,-3.0523732857142694,0.4019764285714253,-3.0228278571428313,0.4095399999999946,-2.993270999999958
1.0,0.4095399999999985,-2.993271999999989,0.41710299999999856,-2.96371599999999,0.4254452857142843,-2.9341492857142764,0.43454997142856994,-2.904558942857133,0.4444004571428554,-2.874932057142846,0.45497961904761663,-2.8452557142856985,0.46627042857142487,-2.815516999999976,0.4782559999999939,-2.7857029999999603
1.0,0.4782559999999982,-2.7857029999999896,0.49024157142856967,-2.7558889999999905,0.5029218571428554,-2.7259997142857055,0.5162798571428554,-2.6960222285714193,0.5302985142857122,-2.665943628571418,0.5449608095238067,-2.6357509999999857,0.560249571428567,-2.6054314285714057,0.5761469999999927,-2.5749719999999634
1.0,0.5761479999999978,-2.574970999999991,0.5920462857142836,-2.54451142857142,0.6085539999999979,-2.513911952380944,0.6256539999999978,-2.483159657142849,0.6433290857142832,-2.452241628571419,0.661561952380949,-2.421144952380939,0.6803351428571374,-2.3898567142856937,0.6996309999999912,-2.358363999999966
1.0,0.6996319999999974,-2.3583639999999915,0.7189282857142831,-2.326871142857135,0.738747571428569,-2.295173714285707,0.759072428571426,-2.2632587428571354,0.7798853714285684,-2.231113257142848,0.8011689047619006,-2.1987242857142735,0.8229055714285649,-2.166078857142838,0.8450779999999893,-2.133163999999969
1.0,0.8450779999999968,-2.133162999999992,0.8672502857142826,-2.100247999999993,0.8898580952380922,-2.0670635714285654,0.9128838571428539,-2.033596742857136,0.9363099714285678,-1.9998345428571351,0.9601188095238045,-1.9657639999999894,0.9842927142857064,-1.931372142857126,1.0088139999999872,-1.8966459999999725
1.0,1.0088149999999962,-1.8966469999999933,1.0333364285714248,-1.861920857142851,1.05820533333333,-1.8268603333333273,1.083404085714282,-1.791452399999994,1.1089150571428528,-1.755683999999993,1.134720619047613,-1.7195420476190384,1.1608031428571335,-1.6830134285714138,1.1871449999999846,-1.6460849999999756
1.0,1.1871439999999955,-1.6460849999999942,1.2134855714285673,-1.6091569999999946,1.2400863809523768,-1.571829380952376,1.2669287999999956,-1.5340890857142804,1.2939951999999948,-1.495923057142851,1.3212679523809454,-1.45731823809523,1.3487294285714178,-1.4182615714285587,1.376361999999982,-1.3787399999999794
1.0,1.376361999999995,-1.378738999999995,1.4039944285714239,-1.3392171428571384,1.4317979047619,-1.299230238095234,1.459754799999995,-1.2587651999999958,1.4878474857142798,-1.217808942857138,1.5160583333333253,-1.1763483809523743,1.5443697142857018,-1.1343704285714182,1.5727639999999798,-1.0918619999999832
