duration,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,p5x,p5y,p6x,p6y,p7x,p7y
1.0,-7.055369999999974,-3.771173999999986,-7.055369999999976,-3.771173999999987,-7.055369999999977,-3.771173999999988,-7.055369999999976,-3.771173999999987,-7.053297914285686,-3.77158188571427,-7.048661523809486,-3.77249838095236,-7.041194857142798,-3.7739797142856824,-7.030855999999902,-3.7760379999999483
1.0,-7.030855999999974,-3.776038999999986,-7.020516999999976,-3.7780977142857015,-7.007305619047597,-3.7807338095237975,-6.991179657142833,-3.783959771428558,-6.972320628571401,-3.7877442857142705,-6.95082904761901,-3.7920715714285507,-6.926800285714227,-3.7969262857142536,-6.9003119999999045,-3.802294999999948
1.0,-6.900310999999975,-3.8022959999999864,-6.87382214285712,-3.8076655714285588,-6.844873333333311,-3.813549666666654,-6.813541942857119,-3.8199351714285585,-6.779887399999973,-3.826811085714271,-6.743971142857107,-3.834163904761884,-6.705853285714228,-3.841978142857111,-6.665593999999907,-3.850235999999948
1.0,-6.665592999999976,-3.850235999999986,-6.625332857142834,-3.8584944285714156,-6.5829306666666465,-3.8671970952380827,-6.538446142857121,-3.876326714285701,-6.491938714285689,-3.8858641428571272,-6.443466523809489,-3.8957892857142644,-6.393087428571374,-3.9060818571428246,-6.340858999999911,-3.9167209999999466
1.0,-6.340858999999977,-3.916721999999986,-6.288630714285692,-3.9273619999999867,-6.234553047619028,-3.938349238095226,-6.178683399999978,-3.9496633999999866,-6.121078628571404,-3.9612840285714124,-6.061795238095205,-3.9731906666666457,-6.00088957142852,-3.985362714285681,-5.938417999999916,-3.997778999999946
1.0,-5.938417999999979,-3.997780999999985,-5.875946428571409,-4.010197999999986,-5.811908952380934,-4.022859809523797,-5.746361885714267,-4.035745799999986,-5.679361485714263,-4.048835257142841,-5.610963904761874,-4.06210733333331,-5.541225571428525,-4.075541142857109,-5.4702029999999215,-4.089115999999944
1.0,-5.470202999999979,-4.089115999999985,-5.399180285714268,-4.1026907142857,-5.326873238095221,-4.116406142857129,-5.25333822857141,-4.130241257142842,-5.17863157142855,-4.1441748857142695,-5.10280980952378,-4.158185809523786,-5.025927285714242,-4.17225228571425,-4.948034999999928,-4.1863519999999435
1.0,-4.948033999999982,-4.186351999999985,-4.870141285714269,-4.200451428571415,-4.791238428571413,-4.214583809523797,-4.711376114285698,-4.228726542857129,-4.63060142857141,-4.242856199999983,-4.54895909523807,-4.2569488571428336,-4.466494142857103,-4.270980714285678,-4.383251999999936,-4.284927999999942
1.0,-4.383251999999984,-4.284926999999984,-4.300009428571414,-4.2988741428571275,-4.215989238095225,-4.312736666666653,-4.131236457142843,-4.326490771428556,-4.0457961142856975,-4.340112685714269,-3.959713523809502,-4.353578761904738,-3.8730339999999654,-4.3668654285713915,-3.785802999999944,-4.37994899999994
1.0,-3.7858029999999867,-4.379948999999984,-3.6985715714285594,-4.393032571428556,-3.6107882857142743,-4.405913142857129,-3.522498342857131,-4.418567171428556,-3.4337469428571294,-4.430971199999982,-3.3445792380952195,-4.443101857142833,-3.2550404285713994,-4.45493585714282,-3.1651759999999527,-4.46644999999994
1.0,-3.165174999999989,-4.466449999999984,-3.0753099999999898,-4.477964142857128,-2.9851188571428477,-4.489158428571414,-2.8946466285714187,-4.500009685714271,-2.8039383142857037,-4.510494857142839,-2.7130388571428417,-4.520590999999976,-2.6219931428571193,-4.530275285714248,-2.5308459999999617,-4.539524999999938
1.0,-2.530845999999991,-4.539524999999983,-2.439698571428563,-4.548774714285699,-2.348449571428564,-4.55758990476189,-2.257143742857135,-4.565947914285699,-2.1658257142857056,-4.573826285714268,-2.0745400476190357,-4.581202761904737,-1.9833311428571243,-4.5880552857142485,-1.89224299999997,-4.594361999999937
1.0,-1.8922419999999933,-4.5943629999999835,-1.8011537142857086,-4.600669714285699,-1.7101862857142804,-4.606430523809508,-1.6193839428571375,-4.611623514285698,-1.5287908285714225,-4.616226914285696,-1.4384506666666583,-4.620219238095213,-1.3484081428571297,-4.623578285714248,-1.2587079999999788,-4.626281999999937
