duration,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,p5x,p5y,p6x,p6y,p7x,p7y
1.0,-0.7803609999999971,-3.923140999999986,-0.7803609999999973,-3.923140999999987,-0.7803609999999974,-3.9231409999999878,-0.7803609999999973,-3.923140999999987,-0.7855688285714254,-3.92355728571427,-0.79676671428571,-3.924120999999979,-0.8141689999999933,-3.9245192857142523,-0.837395999999989,-3.924367999999946
1.0,-0.8373959999999967,-3.9243679999999856,-0.8606229999999969,-3.9242167142857007,-0.889674619047616,-3.9235159999999873,-0.9241710285714253,-3.921881914285701,-0.9631382285714247,-3.9188594571428417,-1.005850857142852,-3.914047809523788,-1.0515705714285632,-3.9070197142856804,-1.0996039999999867,-3.897350999999946
1.0,-1.0996049999999957,-3.897350999999986,-1.1476385714285673,-3.887681999999987,-1.1979859047619008,-3.8753719523809402,-1.249953571428567,-3.8599963428571296,-1.302893028571423,-3.8411334857142703,-1.3561207619047546,-3.818329714285693,-1.4091054285714175,-3.7913014285713964,-1.4615539999999823,-3.760035999999947
1.0,-1.4615529999999946,-3.7600369999999863,-1.5140009999999946,-3.7287719999999873,-1.565912476190471,-3.693270190476179,-1.6169939999999945,-3.653519342857131,-1.6671900857142792,-3.609778628571414,-1.716598380952372,-3.5624804285714093,-1.7652941428571292,-3.51203099999997,-1.8133519999999772,-3.45883599999995
1.0,-1.8133519999999932,-3.458836999999987,-1.8614097142857078,-3.405642428571417,-1.9088292857142795,-3.349702428571418,-1.955685085714279,-3.2914226571428458,-2.002050599999992,-3.2312080857142726,-2.0479789999999896,-3.169438571428554,-2.093530285714269,-3.1065108571428297,-2.1387619999999727,-3.0428209999999556
1.0,-2.138762999999992,-3.042820999999989,-2.1839948571428494,-2.9791314285714185,-2.2289072380952306,-2.9146800952380865,-2.2735578571428494,-2.849863428571419,-2.3180022285714195,-2.785077542857132,-2.3622959523809395,-2.720732428571414,-2.406471285714266,-2.657145285714262,-2.450530999999968,-2.5944909999999615
1.0,-2.450530999999991,-2.5944899999999906,-2.4945904285714198,-2.531835285714277,-2.5385339999999914,-2.4701129999999925,-2.582364285714277,-2.4094976285714202,-2.6260541714285606,-2.350020914285705,-2.6695587619047476,-2.2916257142857015,-2.712836571428549,-2.23426999999998,-2.7558469999999637,-2.177913999999968
1.0,-2.75584699999999,-2.177914999999992,-2.798857428571419,-2.121558999999993,-2.841600190476181,-2.066202571428565,-2.884034314285705,-2.011805742857136,-2.9261193142857027,-1.9583305714285633,-2.9678171904761745,-1.9057513333333227,-3.0090892857142615,-1.854039714285698,-3.0498969999999606,-1.8031679999999728
1.0,-3.049897999999989,-1.8031689999999936,-3.090706428571418,-1.7522978571428514,-3.131050904761895,-1.7022668571428519,-3.1708930571428464,-1.6530483999999945,-3.210194657142845,-1.604615571428565,-3.248917190476173,-1.5569400952380865,-3.287022285714259,-1.509994142857129,-3.3244719999999557,-1.4637499999999777
1.0,-3.324471999999988,-1.4637489999999949,-3.361921285714274,-1.4175044285714238,-3.3987147142857035,-1.3719613333333291,-3.434813857142845,-1.3270917428571383,-3.470180257142843,-1.2828675714285664,-3.5047755714285524,-1.2392609523809452,-3.5385612857142563,-1.1962438571428462,-3.5714989999999522,-1.1537879999999823
