duration,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,p5x,p5y,p6x,p6y,p7x,p7y
1.0,-3.325877999999988,-2.222280999999992,-3.3258779999999883,-2.2222809999999926,-3.3258779999999892,-2.222280999999993,-3.3258779999999883,-2.2222809999999926,-3.3255996285714153,-2.2239930571428483,-3.324921571428553,-2.227749428571417,-3.3237527142856864,-2.2336951428571243,-3.3220279999999542,-2.241784999999969
1.0,-3.322027999999988,-2.241784999999992,-3.320303285714274,-2.2498751428571353,-3.3180228571428465,-2.2601097619047548,-3.3151218571428456,-2.2724439999999926,-3.31156174285713,-2.286643114285705,-3.307298047619029,-2.30254595238094,-3.302284999999972,-2.319994857142838,-3.2964749999999543,-2.338847999999969
1.0,-3.296474999999988,-2.3388479999999916,-3.290665142857131,-2.3577004285714205,-3.2840585238095135,-2.377956380952373,-3.2766076571428457,-2.3994734285714205,-3.268263257142844,-2.4221244571428473,-3.2589759999999823,-2.4457798095237964,-3.248696571428544,-2.470310285714265,-3.237375999999955,-2.4955859999999666
1.0,-3.237375999999988,-2.4955859999999905,-3.22605557142856,-2.5208618571428483,-3.2136939999999896,-2.546882952380944,-3.2002422285714176,-2.573519285714277,-3.1856513428571303,-2.6006399142857037,-3.1698723809523632,-2.6281137142857,-3.1528567142856874,-2.6558098571428355,-3.134555999999956,-2.6835969999999643
1.0,-3.1345559999999884,-2.68359799999999,-3.116255142857132,-2.7113859999999903,-3.0966689047618945,-2.739265666666658,-3.0757485428571325,-2.767106142857133,-3.053445171428559,-2.794776399999989,-3.0297105238095074,-2.822146333333318,-3.0044935714285455,-2.8490817142856906,-2.977742999999958,-2.875447999999962
1.0,-2.9777429999999887,-2.875446999999989,-2.9509922857142756,-2.9018125714285614,-2.922707904761895,-2.927608523809514,-2.892838457142847,-2.9526999142857044,-2.8613321714285593,-2.9769511428571307,-2.8281339523809366,-3.000221523809508,-2.793209428571404,-3.02240128571426,-2.7565569999999604,-3.0434309999999587
1.0,-2.75655799999999,-3.0434299999999888,-2.719905999999991,-3.064458714285703,-2.681526333333325,-3.084336476190466,-2.641417599999991,-3.103003057142846,-2.599611371428561,-3.1204478857142735,-2.556159857142843,-3.1366920476190305,-2.5111118571428355,-3.1517519999999735,-2.4645159999999646,-3.1656439999999573
1.0,-2.464514999999991,-3.1656429999999887,-2.417918857142849,-3.1795342857142748,-2.3697746666666593,-3.192257095238085,-2.3201308571428494,-3.203827314285703,-2.2690354285714194,-3.2142603714285585,-2.2165335714285592,-3.2235674761904587,-2.162671142857124,-3.231760714285688,-2.107493999999969,-3.238851999999956
1.0,-2.1074939999999924,-3.238850999999988,-2.0523167142857077,-3.245942142857132,-1.9958244761904702,-3.2519312857142753,-1.9380629142857078,-3.256830314285703,-1.8790775142857066,-3.2606508857142726,-1.8189140952380853,-3.2634051428571254,-1.7576184285714127,-3.265105142857115,-1.6952359999999744,-3.2657629999999553
1.0,-1.695235999999994,-3.265762999999988,-1.632853714285709,-3.2664205714285606,-1.5693849047618997,-3.266035809523799,-1.5048753428571378,-3.2646207428571317,-1.4393708285714228,-3.262187457142845,-1.3729171428571347,-3.2587479999999824,-1.3055601428571308,-3.2543144285714014,-1.2373459999999799,-3.248898999999955
