Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.22926,-2,0,0,0,0.290296,-0.215248,0.0595575,-0.00595198,0,0,0,0,0.132905,-0.126634,0.0432821,-0.00519936,1.5,0,0,0,0.0794143,-0.0686078,0.0221386,-0.00256273,0,0,0,0,0,0,0,0
2.01632,-1,0.844815,-0.00855503,-0.057018,-0.254639,0.250986,-0.0856702,0.0103315,0.2,0.082843,-0.0436309,-0.0123366,-0.0422915,0.061955,-0.0259425,0.00360908,1.7,0.158575,0.00556062,-0.011345,0.0109383,-0.0276231,0.0154669,-0.00257497,0,0,0,0,0,0,0,0
2.01632,0,0.236639,-1.22059e-14,0.0244924,0.137018,-0.104646,0.0286949,-0.0028291,0.2,1.02435e-15,0.0227955,-3.90093e-15,0.0553435,-0.08394,0.038133,-0.00570081,1.9,5.26165e-15,-0.0280583,1.36562e-14,-0.0491435,0.043313,-0.0138965,0.00159914,0,0,0,0,0,0,0,0
2.22926,1,0.786951,0.0464632,-0.057018,0.00531644,-0.0767886,0.0481342,-0.00791242,0.2,-0.0868683,-0.0436309,-0.0123366,-0.0166823,0.0532021,-0.0263125,0.00387236,1.7,-0.171588,-0.0024439,0.011345,0.0108923,0.00178081,-0.00448151,0.000920877,0,0,0,0,0,0,0,0
